Entity,Year,Wheat yield
Afghanistan,1961,1.0220001
Afghanistan,1962,0.9735001
Afghanistan,1963,0.8317
Afghanistan,1964,0.95100003
Afghanistan,1965,0.97230005
Afghanistan,1966,0.86660004
Afghanistan,1967,1.1232
Afghanistan,1968,1.1562
Afghanistan,1969,1.1855
Afghanistan,1970,0.9563
Afghanistan,1971,0.81490004
Afghanistan,1972,0.8457
Afghanistan,1973,1.1739001
Afghanistan,1974,1.2074001
Afghanistan,1975,1.2128001
Afghanistan,1976,1.2494001
Afghanistan,1977,1.1309
Afghanistan,1978,1.1980001
Afghanistan,1979,1.2317001
Afghanistan,1980,1.2549001
Afghanistan,1981,1.235
Afghanistan,1982,1.2299001
Afghanistan,1983,1.258
Afghanistan,1984,1.2319001
Afghanistan,1985,1.2277
Afghanistan,1986,1.189
Afghanistan,1987,1.2849001
Afghanistan,1988,1.1728001
Afghanistan,1989,1.118
Afghanistan,1990,1.051
Afghanistan,1991,1.0213001
Afghanistan,1992,1.0313001
Afghanistan,1993,1.0211
Afghanistan,1994,1.0250001
Afghanistan,1995,1.0895001
Afghanistan,1996,1.1220001
Afghanistan,1997,1.2764001
Afghanistan,1998,1.2964001
Afghanistan,1999,1.2329
Afghanistan,2000,0.72400004
Afghanistan,2001,0.8977001
Afghanistan,2002,1.5419
Afghanistan,2003,1.5000001
Afghanistan,2004,1.2659001
Afghanistan,2005,1.8215001
Afghanistan,2006,1.376
Afghanistan,2007,1.8183001
Afghanistan,2008,1.2263001
Afghanistan,2009,1.9666001
Afghanistan,2010,1.9252
Afghanistan,2011,1.5179001
Afghanistan,2012,2.0104
Afghanistan,2013,2.0248
Afghanistan,2014,2.0237
Afghanistan,2015,2.1959
Afghanistan,2016,1.9803002
Afghanistan,2017,2.0342
Afghanistan,2018,2.21
Afghanistan,2019,2.0951002
Afghanistan,2020,1.9434001
Afghanistan,2021,1.9631001
Afghanistan,2022,2.0453002
Afghanistan,2023,2.1467001
Africa,1961,0.69094217
Africa,1962,0.9218807
Africa,1963,0.8976482
Africa,1964,0.87154686
Africa,1965,0.8275844
Africa,1966,0.7569531
Africa,1967,0.8401286
Africa,1968,0.9923189
Africa,1969,0.80654305
Africa,1970,0.86934006
Africa,1971,0.9779543
Africa,1972,0.9914201
Africa,1973,0.9342791
Africa,1974,0.9638208
Africa,1975,1.1009274
Africa,1976,1.124778
Africa,1977,0.9218016
Africa,1978,1.0393645
Africa,1979,1.0564569
Africa,1980,1.0960861
Africa,1981,1.132746
Africa,1982,1.2793169
Africa,1983,1.114266
Africa,1984,1.1443077
Africa,1985,1.245364
Africa,1986,1.4451435
Africa,1987,1.5037777
Africa,1988,1.7592602
Africa,1989,1.4808269
Africa,1990,1.5984902
Africa,1991,1.9157205
Africa,1992,1.6217481
Africa,1993,1.6382077
Africa,1994,1.942695
Africa,1995,1.621557
Africa,1996,2.0357335
Africa,1997,1.7913003
Africa,1998,1.8529992
Africa,1999,1.820083
Africa,2000,1.7453997
Africa,2001,2.017764
Africa,2002,2.1281445
Africa,2003,2.2175333
Africa,2004,2.2099411
Africa,2005,2.1295714
Africa,2006,2.4339304
Africa,2007,2.017829
Africa,2008,2.3005157
Africa,2009,2.5634446
Africa,2010,2.3133516
Africa,2011,2.6014059
Africa,2012,2.3930354
Africa,2013,2.7918887
Africa,2014,2.5699294
Africa,2015,2.8455842
Africa,2016,2.4474652
Africa,2017,2.563551
Africa,2018,2.9320781
Africa,2019,2.750852
Africa,2020,2.541726
Africa,2021,3.2258916
Africa,2022,2.7290506
Africa,2023,2.8624275
Africa (FAO),1961,0.693
Africa (FAO),1962,0.9236
Africa (FAO),1963,0.89900005
Africa (FAO),1964,0.8736
Africa (FAO),1965,0.82870007
Africa (FAO),1966,0.76040006
Africa (FAO),1967,0.84230006
Africa (FAO),1968,0.9922001
Africa (FAO),1969,0.81030005
Africa (FAO),1970,0.87030005
Africa (FAO),1971,0.9828
Africa (FAO),1972,0.9918
Africa (FAO),1973,0.94020003
Africa (FAO),1974,0.97110003
Africa (FAO),1975,1.1004001
Africa (FAO),1976,1.1177
Africa (FAO),1977,0.9269001
Africa (FAO),1978,1.0459001
Africa (FAO),1979,1.0458001
Africa (FAO),1980,1.0988001
Africa (FAO),1981,1.1340001
Africa (FAO),1982,1.2750001
Africa (FAO),1983,1.1231
Africa (FAO),1984,1.1438001
Africa (FAO),1985,1.2476001
Africa (FAO),1986,1.4428002
Africa (FAO),1987,1.5013001
Africa (FAO),1988,1.7497001
Africa (FAO),1989,1.4811001
Africa (FAO),1990,1.5981001
Africa (FAO),1991,1.8942001
Africa (FAO),1992,1.6495001
Africa (FAO),1993,1.6276001
Africa (FAO),1994,1.9151001
Africa (FAO),1995,1.6212001
Africa (FAO),1996,2.0284002
Africa (FAO),1997,1.7976
Africa (FAO),1998,1.8642
Africa (FAO),1999,1.8099002
Africa (FAO),2000,1.7520001
Africa (FAO),2001,2.0245001
Africa (FAO),2002,2.1283002
Africa (FAO),2003,2.2131002
Africa (FAO),2004,2.2137
Africa (FAO),2005,2.1353002
Africa (FAO),2006,2.4583
Africa (FAO),2007,2.0427
Africa (FAO),2008,2.288
Africa (FAO),2009,2.5262
Africa (FAO),2010,2.3008
Africa (FAO),2011,2.5827
Africa (FAO),2012,2.3930001
Africa (FAO),2013,2.7919
Africa (FAO),2014,2.5699
Africa (FAO),2015,2.8456001
Africa (FAO),2016,2.4475002
Africa (FAO),2017,2.5636003
Africa (FAO),2018,2.9321003
Africa (FAO),2019,2.7509
Africa (FAO),2020,2.5417001
Africa (FAO),2021,3.2259002
Africa (FAO),2022,2.7291002
Africa (FAO),2023,2.8624
Albania,1961,0.7731
Albania,1962,1.0522
Albania,1963,0.71270007
Albania,1964,0.96250004
Albania,1965,1.1344001
Albania,1966,1.2398001
Albania,1967,1.355
Albania,1968,1.4124001
Albania,1969,1.6389002
Albania,1970,1.5377
Albania,1971,1.8735001
Albania,1972,1.9000001
Albania,1973,2.0097
Albania,1974,2.0625
Albania,1975,1.9375001
Albania,1976,2.5526001
Albania,1977,2.45
Albania,1978,2.45
Albania,1979,2.49
Albania,1980,2.5198002
Albania,1981,2.5321002
Albania,1982,2.6886003
Albania,1983,3.0879002
Albania,1984,3.1579
Albania,1985,3.1406002
Albania,1986,2.8945003
Albania,1987,3.1031003
Albania,1988,3.2010002
Albania,1989,2.9302
Albania,1990,3.0197
Albania,1991,2.0698001
Albania,1992,2.4388
Albania,1993,2.9976003
Albania,1994,2.4745002
Albania,1995,2.8703003
Albania,1996,2.1741002
Albania,1997,2.8516002
Albania,1998,2.8037
Albania,1999,2.4954
Albania,2000,3.0455
Albania,2001,2.822
Albania,2002,3.1617
Albania,2003,2.8629
Albania,2004,3.1130002
Albania,2005,3.1582
Albania,2006,3.0787
Albania,2007,3.5496004
Albania,2008,4.0168004
Albania,2009,4.0229
Albania,2010,3.9905002
Albania,2011,4.2301
Albania,2012,4.1096
Albania,2013,4.1292005
Albania,2014,4.0001
Albania,2015,3.9511003
Albania,2016,3.9
Albania,2017,4.0367002
Albania,2018,3.6927001
